date	close
1-Apr-01	0.081818
2-Apr-01	0.217391
3-Apr-01	0.169565
4-Apr-01	0.258333
5-Apr-01	0.278261
6-Apr-01	0.65
7-Apr-01	0.058333
8-Apr-01	0.095652
9-Apr-01	0.175
10-Apr-01	0.095455
11-Apr-01	0.18125
12-Apr-01	0.226667
13-Apr-01	0.259091
14-Apr-01	0.033333
15-Apr-01	0.1
16-Apr-01	0.15
17-Apr-01	0.216667
18-Apr-01	0.017391
19-Apr-01	0.194444
20-Apr-01	0.404167
21-Apr-01	0.356522
22-Apr-01	0.229167
23-Apr-01	0.304348
24-Apr-01	0.2875
25-Apr-01	0.245455
26-Apr-01	0.258333
27-Apr-01	0.430435
28-Apr-01	0.295833
29-Apr-01	0.1
30-Apr-01	0.426087
1-May-01	0.641667
2-May-01	0.391304
3-May-01	0.390476
4-May-01	0.3375
5-May-01	0.141667
6-May-01	0.021739
7-May-01	0.2125
8-May-01	0.0875
9-May-01	0.178261
10-May-01	0.313636
11-May-01	0.270833
12-May-01	0.225
13-May-01	0.0125
14-May-01	0.017391
15-May-01	0.029167
16-May-01	0.013636
17-May-01	0.130435
18-May-01	0.221053
19-May-01	0.2375
20-May-01	0.143478
21-May-01	0.233333
22-May-01	0.222727
23-May-01	0.216667
24-May-01	0.216667
25-May-01	0.222727
26-May-01	0.221739
27-May-01	0.208333
28-May-01	0.327273
29-May-01	0.3625
30-May-01	0.141667
31-May-01	0.066667
1-Jun-01	0.230435
2-Jun-01	0.33913
3-Jun-01	0.259091
4-Jun-01	0.275
5-Jun-01	0.169565
6-Jun-01	0.125
7-Jun-01	0.182609
8-Jun-01	0.313043
9-Jun-01	0.208333
10-Jun-01	0.154167
11-Jun-01	0.491667
12-Jun-01	0.218182
13-Jun-01	0.358824
14-Jun-01	0.513043
15-Jun-01	0.495833
16-Jun-01	0.3375
17-Jun-01	0.366667
18-Jun-01	0.286364
19-Jun-01	0.3875
20-Jun-01	0.370833
21-Jun-01	0.222727
22-Jun-01	0.304348
23-Jun-01	0.295652
24-Jun-01	0.241667
25-Jun-01	0.356522
26-Jun-01	0.420833
27-Jun-01	0.308333
28-Jun-01	0.195833
29-Jun-01	0.195652
30-Jun-01	0.263636
1-Jul-01	0.220833
2-Jul-01	0.0875
3-Jul-01	0.2125
4-Jul-01	0.130435
5-Jul-01	0.256522
6-Jul-01	0.154167
7-Jul-01	0.15
8-Jul-01	0.166667
9-Jul-01	0.322727
10-Jul-01	0.320833
11-Jul-01	0.179167
12-Jul-01	0.013636
13-Jul-01	0.026087
14-Jul-01	0.030435
15-Jul-01	0.086364
16-Jul-01	0.126087
17-Jul-01	0.225
18-Jul-01	0.125
19-Jul-01	0.047826
20-Jul-01	0.241667
21-Jul-01	0.083333
22-Jul-01	0.004348
23-Jul-01	0.004348
24-Jul-01	0.006667
25-Jul-01	0.008696
26-Jul-01	0.16087
27-Jul-01	0.070833
28-Jul-01	0.029167
29-Jul-01	0.008696
30-Jul-01	0.477273
31-Jul-01	0.4875
1-Aug-01	0.56087
2-Aug-01	0.55
3-Aug-01	0.478261
4-Aug-01	0.445455
7-Aug-01	0.523077
8-Aug-01	0.326316
9-Aug-01	0.452174
10-Aug-01	0.533333
11-Aug-01	0.166667
12-Aug-01	0.095833
13-Aug-01	0.33913
14-Aug-01	0.3125
15-Aug-01	0.430435
16-Aug-01	0.379167
17-Aug-01	0.304545
18-Aug-01	0.247826
19-Aug-01	0.379167
20-Aug-01	0.333333
21-Aug-01	0.517391
22-Aug-01	0.304167
23-Aug-01	0.3125
24-Aug-01	0.252174
25-Aug-01	0.1625
26-Aug-01	0.1
27-Aug-01	0.195652
28-Aug-01	0.275
29-Aug-01	0.147619
30-Aug-01	0.313043
1-Sep-01	0.236842
2-Sep-01	0.1875
3-Sep-01	0.25
4-Sep-01	0.506667
5-Sep-01	0.55
6-Sep-01	0.377778
7-Sep-01	0.5
10-Sep-01	0.3625
11-Sep-01	0.145833
12-Sep-01	0.217391
13-Sep-01	0.316667
14-Sep-01	0.304348
15-Sep-01	0.291304
16-Sep-01	0.283333
17-Sep-01	0.430435
